ID,Depression,Alcohol,Suicide,Drugs
02V56KMO,0,0,0,0
03BMGTOK,0,0,0,0
03LZVFM6,0,0,0,0
0EPULUM5,0,0,0,0
0GM4C5GD,0,0,0,0
0IYM8BYT,0,0,0,0
0JFJVD28,0,0,0,0
0OZGUFOF,0,0,0,0
0WP999ZX,0,0,0,0
0ZA45Y5F,0,0,0,0
13V2N1XF,0,0,0,0
16THDEEP,0,0,0,0
1AU3C3HI,0,0,0,0
1D7TE9IY,0,0,0,0
1MHNW745,0,0,0,0
1TZY1GIP,0,0,0,0
1ZTKVYXC,0,0,0,0
22L09P4C,0,0,0,0
23C43VXB,0,0,0,0
255YNCPV,0,0,0,0
25NGSGR3,0,0,0,0
289054IS,0,0,0,0
28AM1F1Y,0,0,0,0
2EC4OIPR,0,0,0,0
2FCIOIC1,0,0,0,0
2L8WA7A4,0,0,0,0
2Q7GS1WB,0,0,0,0
2SFRZEYJ,0,0,0,0
2ZODHMOB,0,0,0,0
30F40YH4,0,0,0,0
36UOSKA4,0,0,0,0
370FVIAF,0,0,0,0
3B7S1S6B,0,0,0,0
3H1OFXL7,0,0,0,0
3NMNSYA4,0,0,0,0
3PLATXLT,0,0,0,0
3SS0AHGQ,0,0,0,0
427XJQBB,0,0,0,0
44XZ10QC,0,0,0,0
4DL9UOQL,0,0,0,0
57VMVY5S,0,0,0,0
5AP5IX9B,0,0,0,0
5G7R1F52,0,0,0,0
5JK5HYM9,0,0,0,0
5NEYXWJK,0,0,0,0
62MJYMB4,0,0,0,0
64MWIS95,0,0,0,0
6HICH3FC,0,0,0,0
6JTLBUO2,0,0,0,0
6LTXVB46,0,0,0,0
6O5GQX0Z,0,0,0,0
6T33I7B8,0,0,0,0
6TSGOG4R,0,0,0,0
6UFUYHR7,0,0,0,0
6V2783JI,0,0,0,0
6X7DK2U3,0,0,0,0
728CHZ04,0,0,0,0
72NC368J,0,0,0,0
74N1XY6J,0,0,0,0
7BRH6PT9,0,0,0,0
7BURQ08H,0,0,0,0
7CGD8W08,0,0,0,0
7ERDSQ4Q,0,0,0,0
7GV9GMHR,0,0,0,0
7HYJWJTB,0,0,0,0
7IMGIR6F,0,0,0,0
7MFR419R,0,0,0,0
7NDP01F0,0,0,0,0
7U5FD20H,0,0,0,0
82MKUDEC,0,0,0,0
8B9ADEWI,0,0,0,0
8BFV4VOX,0,0,0,0
8P6YOLMS,0,0,0,0
8Q25BIL1,0,0,0,0
8SSR9UYN,0,0,0,0
8YXQSEHH,0,0,0,0
8Z4UTZVE,0,0,0,0
96Q2X9PY,0,0,0,0
9CZ5DDHT,0,0,0,0
9JW2PGV8,0,0,0,0
9L13GJIT,0,0,0,0
9OTMSDU9,0,0,0,0
9VW7CPBV,0,0,0,0
9YVCQS7J,0,0,0,0
A08XVOJ9,0,0,0,0
A1QFJ71D,0,0,0,0
A54FELHT,0,0,0,0
A8F3BDON,0,0,0,0
AFY1KE95,0,0,0,0
AHNC9LX3,0,0,0,0
AJ95VZJW,0,0,0,0
ANDTOXCS,0,0,0,0
AYR375LB,0,0,0,0
AYUG2VBI,0,0,0,0
BIAU48IL,0,0,0,0
BKOSUA7B,0,0,0,0
BKZ07QBO,0,0,0,0
BPHRVS1H,0,0,0,0
BQ3RI60R,0,0,0,0
BU07VJUX,0,0,0,0
BUUPSFJ1,0,0,0,0
BUXSYAXO,0,0,0,0
C41T92F7,0,0,0,0
C8631YTB,0,0,0,0
CCI1EP67,0,0,0,0
CL6VO0ZL,0,0,0,0
CMSUI7KZ,0,0,0,0
CQ2F9IGN,0,0,0,0
CR5KBERA,0,0,0,0
CVXS5L3C,0,0,0,0
CVZ52G5M,0,0,0,0
DCK8JTB2,0,0,0,0
DE19DTOL,0,0,0,0
DG908K5U,0,0,0,0
DGDIRALY,0,0,0,0
DI4P2QQX,0,0,0,0
DKVGD1IJ,0,0,0,0
DODZ41OP,0,0,0,0
DPJ4OEC9,0,0,0,0
DT2E8Z0Y,0,0,0,0
DWV43DRV,0,0,0,0
DYI2P5P3,0,0,0,0
DYVKY1ON,0,0,0,0
E0VNIWL4,0,0,0,0
E41VQ01H,0,0,0,0
E5KD22KF,0,0,0,0
E6RVMA41,0,0,0,0
EE5FDBNM,0,0,0,0
EIDANND5,0,0,0,0
EY6IC0E4,0,0,0,0
F33BM4FZ,0,0,0,0
F49KVD16,0,0,0,0
F4M78KUC,0,0,0,0
F7AI3ZLC,0,0,0,0
FFO4UILJ,0,0,0,0
FHJ1IH58,0,0,0,0
FKJB1707,0,0,0,0
FPVU61TO,0,0,0,0
FRZBEQH7,0,0,0,0
FUOOXD1M,0,0,0,0
FV80RL12,0,0,0,0
G1QBYL4O,0,0,0,0
GC265VS9,0,0,0,0
GFM2D42Q,0,0,0,0
GGNQOSTW,0,0,0,0
GGX9MUZS,0,0,0,0
GHKPUMG2,0,0,0,0
GIBCN23O,0,0,0,0
GNTLJ0E7,0,0,0,0
GT67A35X,0,0,0,0
GTF1GHCS,0,0,0,0
GW73P4MY,0,0,0,0
GX06HFUO,0,0,0,0
H4ATKPDS,0,0,0,0
H4L5M9EC,0,0,0,0
HB2GBCNY,0,0,0,0
HFHX9FY3,0,0,0,0
HNOBGMQR,0,0,0,0
HORZOP1I,0,0,0,0
HT3X6CBT,0,0,0,0
HZ481ZV9,0,0,0,0
I4QJFX7S,0,0,0,0
I7C5YIBV,0,0,0,0
I8XKEO6Q,0,0,0,0
ICAT0M7H,0,0,0,0
IJ2CEKCQ,0,0,0,0
IJHBPXRO,0,0,0,0
IRVOJF0A,0,0,0,0
ITPITEXJ,0,0,0,0
IV09XHLO,0,0,0,0
IZ0BUDDN,0,0,0,0
J4VYS10W,0,0,0,0
J89G2EAB,0,0,0,0
JGI2B1K2,0,0,0,0
JJSOMO3W,0,0,0,0
JTTTLHQZ,0,0,0,0
JY50ZNP9,0,0,0,0
K0732B8A,0,0,0,0
K1N9Q5UD,0,0,0,0
K4YUOEO3,0,0,0,0
K6LT8NSF,0,0,0,0
K7PGBHJ1,0,0,0,0
K83YUYRB,0,0,0,0
KCCMSUEO,0,0,0,0
KFXWZ5UZ,0,0,0,0
KO185AS3,0,0,0,0
KOHTZ87Y,0,0,0,0
KRK4V810,0,0,0,0
KXANZF15,0,0,0,0
L21RGZEA,0,0,0,0
LA7HU1TD,0,0,0,0
LDQPDSEQ,0,0,0,0
LDXD2SH6,0,0,0,0
LFTDM9RL,0,0,0,0
LILA0SH7,0,0,0,0
LNMBLTH4,0,0,0,0
LREDNA2Z,0,0,0,0
LU8M98TQ,0,0,0,0
LURBO1AA,0,0,0,0
M1H2TZHZ,0,0,0,0
MGGGVEEK,0,0,0,0
MHZNTK7J,0,0,0,0
MOR6QVHM,0,0,0,0
MZ0W3E21,0,0,0,0
N0M5HFZ4,0,0,0,0
N3RP8SW2,0,0,0,0
N4MHVE6D,0,0,0,0
N6AYNOKV,0,0,0,0
N82L56BF,0,0,0,0
N9K4UUS4,0,0,0,0
NAF8DOAZ,0,0,0,0
NAFC0V61,0,0,0,0
NBH3E9YH,0,0,0,0
NE6LYAT9,0,0,0,0
NKILW1NP,0,0,0,0
O7K8KU2O,0,0,0,0
OHRCIS8J,0,0,0,0
OKHQWFS5,0,0,0,0
OMAPSLZT,0,0,0,0
OOY8GDRH,0,0,0,0
OPZP8AD6,0,0,0,0
OQ3TLQ4J,0,0,0,0
OUREQSFZ,0,0,0,0
OWAUAIR6,0,0,0,0
OWJE6CPQ,0,0,0,0
P6Y2IXU4,0,0,0,0
PCRO6970,0,0,0,0
PCRSZ9UV,0,0,0,0
PGGZ2N8A,0,0,0,0
PHH1ERZG,0,0,0,0
PM7CUC6D,0,0,0,0
PM8EMAGV,0,0,0,0
PRURL087,0,0,0,0
PT0X6CU5,0,0,0,0
PUVTNFYO,0,0,0,0
PYTVXEF9,0,0,0,0
PZ024QY0,0,0,0,0
Q4WRS0PQ,0,0,0,0
Q7OA0QNU,0,0,0,0
QHA0QIDB,0,0,0,0
QNVFKVPO,0,0,0,0
QSI99X2N,0,0,0,0
QTD01ME7,0,0,0,0
QWEPGVLE,0,0,0,0
R5TQVK1E,0,0,0,0
R7X390UC,0,0,0,0
RBDC9TXE,0,0,0,0
RBJKAVC6,0,0,0,0
RBU7ND89,0,0,0,0
RMOUHSEU,0,0,0,0
RRFBVOW9,0,0,0,0
RT2TOM8I,0,0,0,0
S3S91EPE,0,0,0,0
S86OIM9K,0,0,0,0
SAPK1D54,0,0,0,0
SC9WIG5M,0,0,0,0
SE85CBXL,0,0,0,0
SELKNMCN,0,0,0,0
SF4BGQSH,0,0,0,0
SKWI5DBU,0,0,0,0
SLAB1M8M,0,0,0,0
SN0Y3CB9,0,0,0,0
SNVUHXY1,0,0,0,0
SQJTBF4L,0,0,0,0
SXWT5DIS,0,0,0,0
TC5Z7J76,0,0,0,0
TUI47XO3,0,0,0,0
UA7A354V,0,0,0,0
UPST0OK2,0,0,0,0
USO2MI7J,0,0,0,0
V0A2N0K5,0,0,0,0
V26UYHV9,0,0,0,0
VB7VFL75,0,0,0,0
VIV8YU3K,0,0,0,0
VLMY8JHQ,0,0,0,0
VT4U2VXD,0,0,0,0
VUWHXYI6,0,0,0,0
VVD03CXJ,0,0,0,0
W2D2M625,0,0,0,0
WDYSQ3BP,0,0,0,0
WLI8IPM8,0,0,0,0
WOKOVI83,0,0,0,0
WVGL15DG,0,0,0,0
X0016IPJ,0,0,0,0
X2E196ZE,0,0,0,0
X72WL59G,0,0,0,0
XDK01LYR,0,0,0,0
XLE74IX1,0,0,0,0
XU4HGW9C,0,0,0,0
XUHRT8P4,0,0,0,0
XXMTEUX8,0,0,0,0
XYRTMPGC,0,0,0,0
Y3QTMIO7,0,0,0,0
Y5S49JQ7,0,0,0,0
YAK9NY3K,0,0,0,0
YCHHQT18,0,0,0,0
YDIWQZA5,0,0,0,0
YG9CPVR0,0,0,0,0
YIJ0CEQJ,0,0,0,0
YMT18ON6,0,0,0,0
YNOCXCJN,0,0,0,0
YO2RYXV5,0,0,0,0
YSSD2IXK,0,0,0,0
Z78UM6R8,0,0,0,0
Z9A6ACLK,0,0,0,0
ZDUOIGKN,0,0,0,0
ZHQ60CCH,0,0,0,0
ZVIJMA4O,0,0,0,0
ZYIFAY98,0,0,0,0
