,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
0,1901,17.99,19.43,23.49,26.41,28.28,28.6,27.49,26.98,26.26,25.08,21.73,18.95
1,1902,19.0,20.39,24.1,26.54,28.68,28.44,27.29,27.05,25.95,24.37,21.33,18.78
2,1903,18.32,19.79,22.46,26.03,27.93,28.41,28.04,26.63,26.34,24.57,20.96,18.29
3,1904,17.77,19.39,22.95,26.73,27.83,27.85,26.84,26.73,25.84,24.36,21.07,18.84
4,1905,17.4,17.79,21.78,24.84,28.32,28.69,27.67,27.47,26.29,26.16,22.07,18.71
5,1906,17.5,19.14,22.21,26.53,29.06,28.02,27.46,26.82,26.23,24.75,21.93,19.55
6,1907,19.27,19.42,22.03,26.98,27.52,27.66,27.28,26.38,26.26,24.72,22.11,18.46
7,1908,18.35,19.73,22.93,27.06,28.07,28.49,27.16,26.41,25.74,24.25,21.06,18.15
8,1909,17.79,19.05,23.4,25.76,27.97,27.67,26.56,26.43,25.47,24.37,22.01,18.86
9,1910,18.14,19.72,22.9,25.96,28.36,27.72,26.93,26.61,25.98,24.04,20.72,18.05
10,1911,18.52,19.18,22.05,26.0,28.55,28.02,27.44,27.04,26.22,24.57,21.1,18.76
11,1912,18.6,20.84,22.93,26.21,28.3,28.53,27.49,26.68,25.81,24.44,21.0,18.44
12,1913,18.2,19.98,22.15,26.61,27.95,27.91,27.0,26.8,26.02,24.35,20.92,18.7
13,1914,18.96,19.66,22.63,25.73,28.24,28.46,27.29,26.49,26.38,23.97,21.87,18.73
14,1915,17.93,19.0,22.69,26.23,29.17,28.58,27.77,27.32,26.82,25.46,22.18,18.31
15,1916,18.52,19.68,24.24,26.84,28.16,27.81,27.08,26.77,26.0,24.6,21.03,18.17
16,1917,18.16,19.94,22.46,25.29,26.97,27.41,27.15,26.64,25.79,23.85,20.8,18.39
17,1918,17.25,19.58,22.64,25.26,28.27,27.58,27.74,26.97,26.0,24.54,21.71,18.37
18,1919,18.78,19.15,23.15,26.19,28.2,28.3,27.28,26.84,25.84,24.36,21.48,18.58
19,1920,18.27,19.16,23.02,25.73,27.06,27.76,27.48,26.61,26.34,24.85,21.84,18.78
20,1921,18.61,22.12,24.26,27.11,30.78,28.04,27.4,26.59,25.92,23.84,21.1,19.24
21,1922,18.3,20.5,23.65,26.55,29.8,28.03,27.26,26.95,26.04,23.94,21.28,18.39
22,1923,18.23,19.35,23.21,26.81,28.33,28.95,26.89,26.71,25.89,23.89,21.23,19.08
23,1924,18.06,19.97,24.12,26.87,27.43,28.6,27.5,26.91,25.72,24.5,21.04,18.97
24,1925,17.53,19.08,23.5,27.24,27.82,27.76,27.01,26.64,26.29,24.61,21.29,18.63
25,1926,18.65,20.7,22.87,25.3,27.69,28.97,27.65,27.08,25.95,24.41,20.59,18.8
26,1927,18.15,19.4,22.71,26.13,27.7,27.93,27.23,26.66,26.1,24.7,21.16,19.41
27,1928,18.66,20.13,23.23,26.44,28.88,28.22,27.28,26.9,26.32,24.92,21.77,18.73
28,1929,18.25,19.0,24.05,26.44,28.58,28.07,27.26,26.64,26.41,24.12,21.71,18.44
29,1930,17.75,18.72,23.36,25.94,28.11,27.84,27.31,26.85,26.17,24.6,21.41,19.11
30,1931,19.34,19.73,23.31,27.27,28.51,28.68,26.93,27.31,26.25,24.91,21.7,19.29
31,1932,18.72,19.51,23.39,26.59,27.74,28.52,27.46,26.8,26.5,24.69,21.71,18.86
32,1933,17.84,20.33,23.22,25.52,27.26,27.92,27.39,26.32,25.86,24.35,21.67,19.31
33,1934,17.8,20.51,22.97,26.58,28.13,28.22,27.42,26.74,26.56,24.42,21.15,19.08
34,1935,17.54,21.0,23.39,25.15,28.88,28.45,27.18,26.37,25.85,24.42,21.49,19.03
